,wordle_id,tweet_text
65,261,"Wordle 261 4/6

🟨⬜🟨⬜⬜
⬜🟨⬜🟩⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩"
66,261,"Wordle 261 5/6

⬜⬜🟨⬜🟨
🟨⬜⬜🟨⬜
⬜🟨⬜🟩🟩
🟩⬜🟩🟩🟩
🟩🟩🟩🟩🟩"
67,261,"Wordle 261 3/6

🟨🟨⬛🟨⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩"
68,261,"Wordle 261 3/6

⬛🟨🟩⬛⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩

Almost forgot to do it today"
69,261,"Wordle 261 5/6

🟨⬜⬜⬜⬜
⬜⬜🟩🟩⬜
⬜🟨🟩🟩⬜
🟩⬜🟩🟩⬜
🟩🟩🟩🟩🟩"
70,261,"Wordle 261 4/6

🟨🟨⬛🟨⬛
🟨🟨⬛🟨⬛
⬛⬛🟩🟩🟩
🟩🟩🟩🟩🟩"
71,261,"Wordle 261 4/6

⬜⬜🟩🟩⬜
⬜🟨🟩🟩🟩
🟩⬜🟩🟩🟩
🟩🟩🟩🟩🟩"
72,261,"Wordle 261 6/6

⬛⬛⬛🟨🟨
⬛🟨⬛🟩⬛
🟩🟨⬛🟩⬛
⬛🟩🟨🟨🟨
🟩🟩🟨🟨⬛
🟩🟩🟩🟩🟩

JESUS"
73,261,"Wordle 261 5/6

🟨🟨⬛⬛⬛
🟨🟨⬛⬛⬛
🟨🟨🟩⬛⬛
⬛🟨🟩🟨⬛
🟩🟩🟩🟩🟩"
74,261,"Wordle 261 5/6

⬛⬛⬛⬛⬛
⬛🟩⬛🟨🟨
🟨🟩🟩🟨⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩"
75,261,"Wordle 261 3/6

⬛⬛🟨⬛⬛
⬛🟩⬛⬛🟩
🟩🟩🟩🟩🟩

yeah!"
76,261,"Wordle 261 4/6

⬜⬜🟨🟨⬜
🟨🟨🟩⬜⬜
⬜🟨🟩🟩🟩
🟩🟩🟩🟩🟩"
77,261,"Wordle 261 4/6

🟨⬛🟨🟩⬛
🟨⬛🟩🟩⬛
⬛🟩🟩🟩⬛
🟩🟩🟩🟩🟩"
